"adat_SINs" "RedCap_SINs"
"260" "STEP1168-F-V1-HT1" "STEP1168-V1-F-HT1"
"261" "STEP1297-F-V1-HT1" "STEP1297-V1-F-HT1"
"263" "STEP1367-F-V1-HT1" "STEP1367-V1-F-HT1"
"264" "STEP1620-F-V1-HT1" "STEP1620-V1-F-HT1"
"266" "STEP1089-F-V1-HT1" "STEP1089-V1-F-HT1"
"267" "STEP2263-F-V1-L-HT1" "STEP2263-V1-F-L-HT1"
"269" "STEP2662-F-V1-R-HT1" "STEP2662-V1-F-R-HT1"
"270" "STEP1781-F-V1-HT1" "STEP1781-V1-F-HT1"
"271" "STEP2485-F-V8-L-HT1" "STEP2485-V8-F-L-HT1"
"272" "STEP2097-F-V9-R-HT1" "STEP2097-V9-F-R-HT1"
"273" "STEP1041-F-V1-HT1" "STEP1041-V1-F-HT1"
"274" "STEP2666-F-V1-R-HT1" "STEP2666-V1-F-R-HT1"
"275" "STEP2340-F-V1-R-HT1" "STEP2340-V1-F-R-HT1"
"276" "STEP1972-F-V10-HT1" "STEP1972-V10-F-HT1"
"277" "STEP2377-F-V1-HT1" "STEP2377-V1-F-HT1"
"279" "STEP2634-F-V1-L-HT1" "STEP2634-V1-F-L-HT1"
"280" "STEP2244-F-V1-L-HT1" "STEP2244-V1-F-L-HT1"
"281" "STEP1985-F-V1-HT1" "STEP1985-V1-F-HT1"
"283" "STEP1286-F-V1-HT1" "STEP1286-V1-F-HT1"
"284" "STEP1128-F-V1-HT1" "STEP1128-V1-F-HT1"
"285" "STEP2463-F-V1-L-HT1" "STEP2463-V1-F-L-HT1"
"286" "STEP1434-F-V1-HT1" "STEP1434-V1-F-HT1"
"287" "STEP1570-F-V1-HT1" "STEP1570-V1-F-HT1"
"288" "STEP1656-F-V1-HT1" "STEP1656-V1-F-HT1"
"289" "STEP2555-F-V1-L-HT1" "STEP2555-V1-F-L-HT1"
"290" "STEP2165-F-V1-L-HT1" "STEP2165-V1-F-L-HT1"
"291" "STEP1564-F-V1-HT1" "STEP1564-V1-F-HT1"
"292" "STEP2365-F-V1-HT1" "STEP2365-V1-F-HT1"
"293" "STEP1088-F-V1-HT1" "STEP1088-V1-F-HT1"
